Year,Electricity Production (kWh),Electricity Consumption (kWh/capita),Population,CO2 emmission (kt),Electricity Production from Fossil(kWh),Electricity Production Renewable (kWh),CO2 Emission from Electricity (kt)
1960,,,87751068,21404.279,,,
1961,,,90098394,26024.699,,,
1962,,,92518377,22995.757,,,
1963,,,95015297,22783.071,,,
1964,,,97596733,22394.369,,,
1965,,,100267062,24689.911,,,
1966,,,103025426,23395.46,,,
1967,,,105865571,24561.566,,,
1968,,,108779924,27586.841,,,
1969,,,111758563,33391.702,,,
1970,,14.35356238,114793178,35822.923,,,
1971,,15.89855151,117880144,38987.544,,,8555.599933
1972,,15.82129591,121017314,43340.273,,,9971.015524
1973,,19.18817748,124199687,49134.133,,,13178.96838
1974,,21.44922258,127422211,51260.993,,,12564.39658
1975,,18.33288109,130680727,53963.572,,,10142.24153
1976,,21.72961975,133966941,61810.952,,,10070.77125
1977,,31.75896072,137278058,82434.16,,,17070.05902
1978,,38.68485519,140621730,93933.872,,,17778.04051
1979,,46.17226122,144009845,95096.311,,,17061.58545
1980,,52.27966364,147447836,94784.616,,,16786.09045
1981,,61.43010806,150938232,100160.438,,,17625.38633
1982,10572000000,66.09739787,154468229,105407.915,9176000000,1396000005,20053.82449
1983,12110000000,71.44478005,158009246,104956.874,10085000000,2024999951,20251.4191
1984,13622000000,79.75999823,161523347,112184.531,11287000000,2334999958,27438.50314
1985,14098000000,92.0568115,164982451,121245.688,10884000000,3214000020,30018.75003
1986,19507000000,104.3547564,168374287,121740.733,14244999999,5262000067,32416.40289
1987,22975000000,119.536425,171702763,123372.548,17799000000,5176000098,35282.41118
1988,25201000000,137.51258,174975954,132162.347,18908000000,6293000085,36634.56378
1989,27716000000,162.523825,178209150,130966.905,20021000001,7694999885,35204.99725
1990,32667000000,177.9547178,181413402,149565.929,25834000000,6832999866,53318.2597
1991,37340000000,194.3328091,184591903,179730.671,29663999998,7676000088,67159.89897
1992,41513000000,212.8517155,187739786,202576.081,31616999999,9895999910,74566.90509
1993,45400000000,240.0454272,190851175,218600.871,36421999998,8978000168,82656.10541
1994,51358000000,263.6209667,193917462,221413.46,43317000003,8041000233,79157.66636
1995,59193000000,297.2017761,196934260,224941.114,49447999999,9745000284,81800.77543
1996,67724000000,331.2980202,199901228,253290.691,57206000001,10517999726,91510.02824
1997,74627000000,331.1125779,202826446,278658.997,66910999999,7716000220,104647.4794
1998,78038000000,357.021018,205724592,214200.471,65734999996,12303000323,86886.15697
1999,85915000000,390.4236557,208615169,241988.997,73781000003,12133999967,88136.00779
2000,93325000000,411.4679048,211513823,263418.945,78433999996,14891000293,92163.61569
2001,1.01E+11,417.4959579,214427417,294907.474,83560000001,17694000181,107456.9915
2002,1.08E+11,428.8558292,217357793,306737.216,92035000000,16182000405,119642.7421
2003,1.13E+11,474.3743616,220309469,316792.13,97566000000,15408000268,124631.4509
2004,1.20E+11,500.6507815,223285676,337635.358,103813000004,16350000333,127827.5731
2005,1.28E+11,516.0339127,226289470,341991.754,110177999999,17351000022,133212.7242
2006,1.33E+11,546.1534689,229318262,345119.705,116759000004,16313000515,132073.9537
2007,1.42E+11,570.0604564,232374245,375544.804,123807999997,18342999683,147112.4386
2008,1.49E+11,593.9429453,235469762,416560.199,129442000006,19884000734,167818.5345
2009,1.57E+11,635.9852761,238620563,446409.579,136028000007,20745999274,180780.1621
2010,1.70E+11,680.2814172,241834215,428760.308,142841999997,26913000124,172915.3051
2011,1.83E+11,733.3718268,245116206,603665.207,161405000006,21997000891,264802.8867
2012,2.00E+11,773.9874699,248452413,637078.911,177538000006,22476999482,274816.7585
2013,2.16E+11,811.9069049,251806402,490226.562,189494000005,26505999313,206252.3625
2014,2.28E+11,,255129004,464176.194,201708999991,26149000322,205403.7876
2015,2.34E+11,,258383256,,209052000003,24922000315,
2016,,,261554226,,,,
2017,,,264645886,,,,
2018,,,267663435,,,,